ID khách hàng,Khả năng trả nợ,Giới tính,Độ tuổi,Tình trạng hôn nhân,Tình trạng công việc hiện tại (số năm kinh nghiệm),Thu nhập,Chi tiêu (trung bình một tháng),Hóa đơn tiền điện,Tài sản thế chấp,Tình trạng sở hữu nhà ở,Số tiền dự kiến vay,Mục đích vay,Thời hạn khoản vay,Chứng minh thu nhập,Số thành viên phụ thuộc trong gia đình,Trình độ học vấn
11,0. Trả nợ đúng hạn,0. Nữ,42,1. Có gia đình,6,35000000,5000000,750000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,3,2. Thạc sĩ
12,0. Trả nợ đúng hạn,0. Nữ,43,1. Có gia đình,10,30000000,4500000,550000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,3,3. Đại học
13,0. Trả nợ đúng hạn,0. Nữ,38,1. Có gia đình,5,35000000,4500000,550000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,3,3. Đại học
14,0. Trả nợ đúng hạn,1. Nam,41,1. Có gia đình,8,30000000,4500000,800000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,0,1. Tiến sĩ
15,0. Trả nợ đúng hạn,0. Nữ,33,1. Có gia đình,9,35000000,5000000,750000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,3,3. Đại học
16,0. Trả nợ đúng hạn,1. Nam,37,1. Có gia đình,6,35000000,5000000,850000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,1,3. Đại học
17,0. Trả nợ đúng hạn,0. Nữ,41,1. Có gia đình,9,30000000,5000000,750000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,0,1. Tiến sĩ
18,0. Trả nợ đúng hạn,1. Nam,39,1. Có gia đình,6,30000000,5000000,800000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,1,2. Thạc sĩ
19,0. Trả nợ đúng hạn,1. Nam,39,1. Có gia đình,7,30000000,5000000,750000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,3,2. Thạc sĩ
20,0. Trả nợ đúng hạn,1. Nam,40,1. Có gia đình,5,35000000,4500000,600000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,3,2. Thạc sĩ
21,0. Trả nợ đúng hạn,1. Nam,39,1. Có gia đình,7,35000000,5000000,800000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,1,3. Đại học
22,0. Trả nợ đúng hạn,1. Nam,39,1. Có gia đình,5,30000000,5000000,750000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,0,1. Tiến sĩ
23,0. Trả nợ đúng hạn,1. Nam,41,1. Có gia đình,10,35000000,5000000,700000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,0,1. Tiến sĩ
24,0. Trả nợ đúng hạn,0. Nữ,39,1. Có gia đình,9,30000000,4500000,800000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,0,3. Đại học
25,0. Trả nợ đúng hạn,0. Nữ,33,1. Có gia đình,10,35000000,5000000,800000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,1,1. Tiến sĩ
26,0. Trả nợ đúng hạn,0. Nữ,41,1. Có gia đình,10,35000000,5000000,700000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,3,2. Thạc sĩ
27,0. Trả nợ đúng hạn,1. Nam,33,1. Có gia đình,8,30000000,4500000,650000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,3,1. Tiến sĩ
28,0. Trả nợ đúng hạn,1. Nam,42,1. Có gia đình,18,30000000,5000000,750000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,1,1. Tiến sĩ
29,0. Trả nợ đúng hạn,1. Nam,41,1. Có gia đình,20,30000000,5000000,800000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,2,3. Đại học
30,0. Trả nợ đúng hạn,1. Nam,32,1. Có gia đình,10,30000000,4500000,830000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,2,2. Thạc sĩ
31,0. Trả nợ đúng hạn,1. Nam,39,1. Có gia đình,20,30000000,5000000,700000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,3,2. Thạc sĩ
32,0. Trả nợ đúng hạn,1. Nam,43,1. Có gia đình,21,35000000,4500000,750000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,2,1. Tiến sĩ
33,0. Trả nợ đúng hạn,0. Nữ,40,1. Có gia đình,19,30000000,5000000,750000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,0,2. Thạc sĩ
34,0. Trả nợ đúng hạn,0. Nữ,37,1. Có gia đình,15,35000000,5000000,650000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,3,1. Tiến sĩ
35,0. Trả nợ đúng hạn,1. Nam,32,1. Có gia đình,9,30000000,5000000,830000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,0,1. Tiến sĩ
36,0. Trả nợ đúng hạn,1. Nam,33,1. Có gia đình,10,35000000,5000000,700000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,3,1. Tiến sĩ
37,0. Trả nợ đúng hạn,1. Nam,40,1. Có gia đình,20,30000000,4500000,850000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,0,2. Thạc sĩ
38,0. Trả nợ đúng hạn,0. Nữ,38,1. Có gia đình,19,35000000,4500000,830000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,2,1. Tiến sĩ
39,0. Trả nợ đúng hạn,1. Nam,39,1. Có gia đình,17,35000000,5000000,550000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,2,2. Thạc sĩ
40,0. Trả nợ đúng hạn,1. Nam,41,1. Có gia đình,19,30000000,4500000,700000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,2,3. Đại học
41,0. Trả nợ đúng hạn,0. Nữ,34,1. Có gia đình,8,35000000,4500000,850000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,3,3. Đại học
42,0. Trả nợ đúng hạn,0. Nữ,40,1. Có gia đình,20,55000000,5000000,650000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,0,3. Đại học
43,0. Trả nợ đúng hạn,0. Nữ,42,1. Có gia đình,21,65000000,4500000,750000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,2,1. Tiến sĩ
44,0. Trả nợ đúng hạn,1. Nam,34,1. Có gia đình,8,35000000,4500000,830000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,0,3. Đại học
45,0. Trả nợ đúng hạn,1. Nam,35,1. Có gia đình,15,35000000,5000000,750000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,1,3. Đại học
46,0. Trả nợ đúng hạn,0. Nữ,41,1. Có gia đình,19,35000000,4500000,850000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,2,3. Đại học
47,0. Trả nợ đúng hạn,1. Nam,36,1. Có gia đình,10,30000000,5000000,750000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,1,3. Đại học
48,0. Trả nợ đúng hạn,0. Nữ,34,1. Có gia đình,10,30000000,5000000,750000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,1,2. Thạc sĩ
49,0. Trả nợ đúng hạn,0. Nữ,35,1. Có gia đình,12,35000000,4500000,650000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,2,3. Đại học
50,0. Trả nợ đúng hạn,1. Nam,41,1. Có gia đình,19,30000000,5000000,550000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,3,1. Tiến sĩ
51,0. Trả nợ đúng hạn,0. Nữ,38,1. Có gia đình,13,35000000,4500000,700000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,1,1. Tiến sĩ
52,0. Trả nợ đúng hạn,0. Nữ,39,1. Có gia đình,15,35000000,4500000,650000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,0,2. Thạc sĩ
53,0. Trả nợ đúng hạn,1. Nam,43,1. Có gia đình,22,30000000,5000000,650000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,1,1. Tiến sĩ
54,0. Trả nợ đúng hạn,0. Nữ,38,1. Có gia đình,15,30000000,5000000,600000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,2,2. Thạc sĩ
55,0. Trả nợ đúng hạn,0. Nữ,43,1. Có gia đình,19,30000000,4500000,550000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,2,3. Đại học
56,0. Trả nợ đúng hạn,1. Nam,35,1. Có gia đình,7,35000000,5000000,650000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,1,1. Tiến sĩ
57,0. Trả nợ đúng hạn,1. Nam,37,1. Có gia đình,9,30000000,4500000,700000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,3,1. Tiến sĩ
58,0. Trả nợ đúng hạn,1. Nam,34,1. Có gia đình,8,30000000,5000000,550000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,2,3. Đại học
59,0. Trả nợ đúng hạn,0. Nữ,40,1. Có gia đình,21,30000000,4500000,550000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,0,1. Tiến sĩ
60,0. Trả nợ đúng hạn,1. Nam,38,1. Có gia đình,13,30000000,5000000,650000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,1,1. Tiến sĩ
61,0. Trả nợ đúng hạn,0. Nữ,37,1. Có gia đình,11,30000000,4500000,700000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,1,2. Thạc sĩ
62,0. Trả nợ đúng hạn,1. Nam,37,1. Có gia đình,12,30000000,4500000,600000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,1,2. Thạc sĩ
63,0. Trả nợ đúng hạn,0. Nữ,33,1. Có gia đình,11,35000000,5000000,750000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,2,1. Tiến sĩ
64,0. Trả nợ đúng hạn,1. Nam,42,1. Có gia đình,20,35000000,4500000,550000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,1,1. Tiến sĩ
65,0. Trả nợ đúng hạn,1. Nam,34,1. Có gia đình,9,30000000,5000000,750000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,2,3. Đại học
66,0. Trả nợ đúng hạn,0. Nữ,36,1. Có gia đình,10,30000000,4500000,550000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,2,2. Thạc sĩ
67,0. Trả nợ đúng hạn,0. Nữ,40,1. Có gia đình,18,35000000,4500000,700000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,2,1. Tiến sĩ
68,0. Trả nợ đúng hạn,1. Nam,32,1. Có gia đình,10,30000000,5000000,600000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,3,3. Đại học
69,0. Trả nợ đúng hạn,1. Nam,34,1. Có gia đình,11,35000000,4500000,750000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,0,1. Tiến sĩ
70,0. Trả nợ đúng hạn,0. Nữ,40,1. Có gia đình,19,30000000,4500000,700000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,2,1. Tiến sĩ
71,0. Trả nợ đúng hạn,1. Nam,41,1. Có gia đình,20,35000000,5000000,700000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,3,1. Tiến sĩ
72,0. Trả nợ đúng hạn,0. Nữ,35,1. Có gia đình,8,30000000,5000000,850000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,1,1. Tiến sĩ
73,0. Trả nợ đúng hạn,1. Nam,37,1. Có gia đình,16,30000000,5000000,650000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,0,1. Tiến sĩ
74,0. Trả nợ đúng hạn,0. Nữ,37,1. Có gia đình,16,35000000,5000000,750000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,0,2. Thạc sĩ
75,0. Trả nợ đúng hạn,1. Nam,37,1. Có gia đình,15,35000000,5000000,700000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,2,3. Đại học
76,0. Trả nợ đúng hạn,1. Nam,37,1. Có gia đình,10,30000000,4500000,550000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,0,2. Thạc sĩ
77,0. Trả nợ đúng hạn,1. Nam,32,1. Có gia đình,12,35000000,4500000,750000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,2,2. Thạc sĩ
78,0. Trả nợ đúng hạn,1. Nam,36,1. Có gia đình,13,35000000,4500000,850000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,2,3. Đại học
79,0. Trả nợ đúng hạn,0. Nữ,39,1. Có gia đình,15,30000000,5000000,750000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,0,3. Đại học
80,0. Trả nợ đúng hạn,1. Nam,39,1. Có gia đình,17,30000000,4500000,550000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,3,3. Đại học
81,0. Trả nợ đúng hạn,0. Nữ,43,1. Có gia đình,8,35000000,5000000,700000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,0,3. Đại học
82,0. Trả nợ đúng hạn,0. Nữ,39,1. Có gia đình,8,30000000,5000000,600000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,3,2. Thạc sĩ
83,0. Trả nợ đúng hạn,1. Nam,33,1. Có gia đình,8,30000000,4500000,850000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,0,2. Thạc sĩ
84,0. Trả nợ đúng hạn,1. Nam,34,1. Có gia đình,6,35000000,5000000,850000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,1,1. Tiến sĩ
85,0. Trả nợ đúng hạn,0. Nữ,32,1. Có gia đình,10,35000000,4500000,650000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,0,1. Tiến sĩ
86,0. Trả nợ đúng hạn,1. Nam,42,1. Có gia đình,5,35000000,4500000,800000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,1,2. Thạc sĩ
87,0. Trả nợ đúng hạn,0. Nữ,39,1. Có gia đình,19,35000000,4500000,700000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,0,3. Đại học
88,0. Trả nợ đúng hạn,1. Nam,36,1. Có gia đình,14,35000000,4500000,650000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,1,1. Tiến sĩ
89,0. Trả nợ đúng hạn,0. Nữ,38,1. Có gia đình,16,30000000,5000000,650000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,3,1. Tiến sĩ
90,0. Trả nợ đúng hạn,1. Nam,40,1. Có gia đình,18,35000000,4500000,700000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,1,2. Thạc sĩ
91,0. Trả nợ đúng hạn,0. Nữ,37,1. Có gia đình,10,30000000,5000000,850000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,3,1. Tiến sĩ
92,0. Trả nợ đúng hạn,0. Nữ,35,1. Có gia đình,10,35000000,4500000,700000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,3,1. Tiến sĩ
93,0. Trả nợ đúng hạn,1. Nam,38,1. Có gia đình,6,35000000,4500000,850000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,0,2. Thạc sĩ
94,0. Trả nợ đúng hạn,0. Nữ,43,1. Có gia đình,20,35000000,4500000,600000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,1,2. Thạc sĩ
95,0. Trả nợ đúng hạn,0. Nữ,36,1. Có gia đình,12,30000000,5000000,830000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,3,3. Đại học
96,0. Trả nợ đúng hạn,0. Nữ,32,1. Có gia đình,10,30000000,4500000,850000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,3,3. Đại học
97,0. Trả nợ đúng hạn,1. Nam,40,1. Có gia đình,15,30000000,4500000,800000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,3,3. Đại học
98,0. Trả nợ đúng hạn,0. Nữ,38,1. Có gia đình,10,30000000,4500000,700000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,2,2. Thạc sĩ
99,0. Trả nợ đúng hạn,0. Nữ,37,1. Có gia đình,7,30000000,5000000,830000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,0,1. Tiến sĩ
100,0. Trả nợ đúng hạn,1. Nam,32,1. Có gia đình,6,30000000,4500000,650000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,2,3. Đại học
101,0. Trả nợ đúng hạn,1. Nam,36,1. Có gia đình,7,35000000,5000000,830000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,250000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,3,1. Tiến sĩ
102,0. Trả nợ đúng hạn,1. Nam,43,1. Có gia đình,8,30000000,5000000,850000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,0,2. Thạc sĩ
103,0. Trả nợ đúng hạn,1. Nam,32,1. Có gia đình,9,35000000,5000000,600000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,350000000,1. Tiêu dùng,12,0. Có giấy tờ chứng minh thu nhập,1,1. Tiến sĩ
104,0. Trả nợ đúng hạn,1. Nam,40,1. Có gia đình,9,35000000,5000000,830000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,300000000,1. Tiêu dùng,8,0. Có giấy tờ chứng minh thu nhập,1,2. Thạc sĩ
105,0. Trả nợ đúng hạn,0. Nữ,32,1. Có gia đình,10,30000000,4500000,850000,0. Có tài sản thế chấp,0. Đã sở hữu nhà ở,200000000,1. Tiêu dùng,10,0. Có giấy tờ chứng minh thu nhập,1,2. Thạc sĩ
